Date,Max Temperature (°F),Avg Temperature (°F),Min Temperature (°F),Max Dew Point (°F),Avg Dew Point (°F),Min Dew Point (°F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (in),Avg Pressure (in),Min Pressure (in),Precipitation (in)
16/02/2023,55,50.4,46,52,46.8,43,100,87.3,82,16,11,5,30.1,30,30,0
17/02/2023,57,54.4,52,52,49.3,46,94,84,77,25,16.7,8,30.1,30.1,30,0
18/02/2023,55,52.9,48,52,46.6,43,94,80.1,71,24,15.9,9,30.1,30.1,30,0
19/02/2023,55,49.2,45,45,40.8,37,87,73.5,58,14,10.2,7,30.3,30.2,30.1,0
20/02/2023,55,49,45,46,44,39,93,82.4,72,18,12.5,7,30.2,30.1,30.1,0
21/02/2023,48,46.1,43,45,43.2,39,93,88.1,82,12,6.6,2,30.1,29.9,29.8,0
22/02/2023,50,45.3,43,45,41.4,37,100,86.5,71,12,6,2,29.9,29.8,29.7,0
23/02/2023,46,43,34,41,37,28,93,80.3,66,13,7.6,2,30,30,29.9,0
24/02/2023,50,40.6,32,43,34.2,28,87,78.5,58,10,6.2,2,30,29.9,29.8,0
25/02/2023,45,40.6,36,34,32.8,30,87,74,57,15,7.9,5,30.1,29.9,29.9,0
26/02/2023,45,38.8,34,32,28.2,23,93,68.5,43,13,6.8,2,30.4,30.2,30.1,0
27/02/2023,46,39.1,32,36,30.6,27,93,72.8,53,13,7.5,3,30.4,30.4,30.3,0
28/02/2023,46,40.8,34,39,35,30,93,80.9,71,13,7.5,3,30.4,30.4,30.3,0
01/03/2023,46,42.5,39,37,35.9,32,93,77.3,66,12,7,3,30.4,30.3,30.2,0
02/03/2023,48,40.5,34,32,31.5,30,87,71.1,53,12,7,3,30.2,30.2,30.1,0
03/03/2023,45,42,39,34,32.5,30,76,69,57,9,6.4,3,30.4,30.3,30.2,0
04/03/2023,45,42,39,34,31.9,30,81,68,61,8,5.5,3,30.4,30.3,30.2,0
05/03/2023,41,38.8,37,32,29.2,27,81,68.2,57,10,6.3,3,30.2,30,29.8,0
06/03/2023,50,41.9,34,41,36.6,30,93,82.1,62,17,9.8,3,29.8,29.6,29.5,0
07/03/2023,43,37.3,34,39,33.4,30,93,85.9,70,13,5.1,2,29.5,29.4,29.4,0
08/03/2023,37,35.6,32,36,33.6,30,100,92.7,81,16,8.8,3,29.4,29.2,29.1,0
09/03/2023,52,43.7,36,50,42.2,34,100,95,88,12,7.4,5,29.3,29.2,28.9,0
10/03/2023,48,40.7,34,48,34.3,25,100,78.5,56,17,7.3,1,29.7,29.4,28.9,0
11/03/2023,46,38.4,28,41,31.1,25,100,76.6,53,13,6.6,1,29.8,29.7,29.6,0
12/03/2023,57,50.1,43,50,46,43,100,85.9,63,20,12.8,6,29.7,29.6,29.3,0
13/03/2023,57,53.8,50,52,46.6,45,94,76.9,63,32,23.1,13,29.3,29.1,29,0
14/03/2023,50,43.6,37,48,33.8,27,94,69.9,43,18,12.5,6,29.9,29.6,29.1,0
15/03/2023,46,41,32,43,36.5,32,100,85.2,61,14,7.8,1,30,29.9,29.8,0
16/03/2023,57,51.7,45,50,46,45,100,81.7,67,17,11.8,7,29.8,29.6,29.5,0
17/03/2023,59,53.4,50,52,48.8,46,94,85.9,67,15,8.2,2,29.6,29.6,29.5,0
18/03/2023,57,51.3,48,50,47.1,45,94,86.7,67,13,7.2,2,29.7,29.6,29.6,0
19/03/2023,52,47.4,43,46,39.4,37,93,74.5,58,12,8.1,5,30,29.9,29.7,0
20/03/2023,55,50.4,46,50,46.6,41,94,87.3,76,15,10.7,6,30,29.9,29.8,0
21/03/2023,57,52.2,48,48,46.2,45,94,80.7,63,21,13.6,8,29.8,29.7,29.6,0
22/03/2023,59,53.4,50,50,46.9,45,94,80.4,63,23,17.4,13,29.6,29.4,29.3,0
23/03/2023,59,52.4,48,48,45.3,43,88,77.4,55,26,16.8,9,29.4,29.3,29.2,0
24/03/2023,55,49.1,46,46,43.5,39,87,80.5,58,23,14.7,8,29.4,29.4,29.3,0
25/03/2023,57,50.7,46,45,41.3,37,93,70.6,51,28,17,3,29.6,29.5,29.4,0
26/03/2023,46,44.5,43,45,39.5,34,93,81.5,70,8,6.3,5,30.1,29.8,29.5,0
27/03/2023,52,44.6,39,34,30.3,25,81,59,37,9,4.1,2,30.2,30.2,30.1,0
28/03/2023,48,45.3,41,46,39.3,30,93,79.4,61,18,11,5,30.2,30,29.9,0
29/03/2023,57,52.6,48,54,49.8,46,100,90.5,72,20,11.1,3,29.8,29.7,29.5,0
30/03/2023,59,54.6,50,50,47.4,46,94,78.1,67,22,16.1,10,29.6,29.5,29.3,0
31/03/2023,57,51.7,50,50,48.5,48,94,90.3,77,24,16.9,8,29.4,29.1,28.9,0
01/04/2023,54,49.1,46,48,43.9,39,94,81.6,66,9,7,3,30,29.6,29.4,0
02/04/2023,52,45.9,39,41,36.8,32,87,71.4,50,10,7.8,5,30.4,30.2,30,0
03/04/2023,54,43.5,34,39,32.9,30,87,68.1,44,14,7.6,2,30.4,30.3,30.3,0
04/04/2023,57,45.7,34,36,31.3,27,87,60.8,31,9,4.5,1,30.3,30.2,30.1,0
05/04/2023,55,47.1,39,46,39,34,93,74.3,51,14,7.6,3,30.2,30,29.9,0
06/04/2023,59,50.1,43,50,44.8,37,100,83.1,55,17,9,3,30,29.9,29.8,0
07/04/2023,59,49.7,39,41,36,32,87,61.9,38,9,4.2,1,30.1,30.1,30,0
08/04/2023,59,48,39,43,38.5,36,100,72.5,45,10,4.8,1,30.2,30.2,30.1,0
09/04/2023,61,51.2,41,45,41.2,37,100,70.9,48,12,7.5,2,30.2,30.1,29.9,0
10/04/2023,59,52.4,46,52,44.4,36,100,75.9,51,26,15.9,8,29.9,29.7,29.6,0
11/04/2023,55,48.3,43,46,40.8,37,93,76.2,54,22,14.2,7,29.8,29.7,29.4,0
12/04/2023,52,45.9,41,43,38.2,32,87,75.7,47,32,15.7,7,29.4,29.2,29.1,0
13/04/2023,55,47.9,41,39,35.4,30,81,63.6,38,24,14.8,5,29.6,29.5,29.3,0
14/04/2023,50,45.7,39,45,41.3,36,93,84.2,66,17,7.7,1,29.7,29.6,29.5,0
15/04/2023,59,50.8,45,45,42.5,41,93,74.6,51,9,5.8,1,30.2,30,29.7,0
16/04/2023,59,53.1,46,45,43.6,41,87,70.3,51,10,4.9,1,30.2,30.2,30.2,0
17/04/2023,63,54.3,46,50,45.4,43,94,73.5,52,13,6.1,2,30.3,30.3,30.2,0
18/04/2023,54,48.9,45,43,40.3,39,87,72.5,58,17,10.8,5,30.3,30.3,30.2,0
19/04/2023,59,51.1,45,46,40.8,32,87,68.8,44,18,11.6,5,30.2,30.2,30.1,0
20/04/2023,59,48.6,39,43,36.6,28,87,67.2,31,17,9.7,3,30.1,30,29.9,0
21/04/2023,52,46.4,43,43,41.3,39,93,82.8,66,9,5.5,1,29.9,29.8,29.7,0
22/04/2023,55,48.3,37,48,39.9,37,100,75.4,51,14,6,1,29.7,29.6,29.5,0
23/04/2023,59,51.5,45,48,44.8,37,94,78.8,45,17,8.2,2,29.6,29.5,29.4,0
24/04/2023,54,46.8,43,43,40.7,36,100,80.2,58,10,5.9,3,29.9,29.7,29.6,0
25/04/2023,52,44.4,36,34,31.5,27,87,62.8,40,9,5.3,2,30,30,29.9,0
26/04/2023,52,46.6,41,39,35.8,32,81,66.7,50,12,7.5,2,30,30,29.9,0
27/04/2023,57,49.2,41,52,42.3,36,100,78.6,54,16,9.4,2,30,29.9,29.7,0
28/04/2023,64,57,50,54,50.9,45,100,81.3,59,16,8.3,2,30,29.8,29.6,0
29/04/2023,66,54.5,45,48,45.4,41,93,73.3,46,10,4.2,0,30.1,30,30,0
30/04/2023,63,54.7,43,48,44.9,41,100,70.9,48,12,7.1,2,30.1,30.1,30,0
01/05/2023,64,56.8,50,50,47.2,45,88,72.3,52,10,6.7,2,30.1,30,29.9,0
02/05/2023,59,51.9,45,48,44.6,39,93,77.1,63,14,7.7,1,30.3,30.2,30.1,0
03/05/2023,59,50.3,41,45,40.4,37,87,70.1,51,16,10,3,30.3,30.2,30.1,0
04/05/2023,66,56.4,46,52,47.6,43,87,73.1,55,17,11.9,7,30,29.9,29.8,0
05/05/2023,66,58.9,52,55,50.5,48,94,74.9,56,16,10.7,5,29.9,29.9,29.8,0
06/05/2023,57,55.4,50,55,53.2,48,94,92.4,88,12,7.7,1,29.9,29.8,29.8,0
07/05/2023,68,59.4,54,54,52.4,50,94,78.3,56,10,5.8,3,30,29.9,29.9,0
08/05/2023,59,55.2,52,55,52.1,50,100,89.1,72,15,9.1,2,30,30,29.8,0
09/05/2023,64,57.1,52,55,53.2,50,100,86.5,68,14,7.7,2,29.8,29.8,29.7,0
10/05/2023,63,55.5,48,52,49.3,45,100,80.8,59,12,7.3,2,29.9,29.8,29.7,0
11/05/2023,64,55.5,48,50,47,43,94,74.9,48,13,5.7,1,30,29.9,29.9,0
12/05/2023,55,52.7,48,50,47.7,46,100,84.5,72,14,9.1,3,30.2,30.1,30,0
13/05/2023,55,51.6,48,48,46.8,46,93,84.8,77,9,7.3,5,30.2,30.2,30.1,0
14/05/2023,68,56.5,46,52,47.3,45,93,73,52,12,5.7,1,30.1,30,29.9,0
15/05/2023,63,55.6,50,50,41.5,36,94,61.6,37,12,7.3,2,30.1,30,29.9,0
16/05/2023,63,55.1,45,43,41.4,39,87,61.8,45,12,5.7,2,30.2,30.2,30.1,0
17/05/2023,64,56,46,50,45.4,41,88,69.1,45,9,5.2,2,30.3,30.3,30.2,0
18/05/2023,68,58.2,50,48,44.7,41,82,62,40,12,4.8,1,30.3,30.3,30.2,0
19/05/2023,63,56.9,50,50,45.9,43,82,67.9,52,12,5.9,2,30.3,30.2,30.2,0
20/05/2023,68,57.1,45,48,42.9,37,93,61.6,40,12,7.7,2,30.3,30.2,30.1,0
21/05/2023,66,57.6,48,46,44.3,39,87,62,46,13,8.2,5,30.1,30.1,30,0
22/05/2023,66,58.9,52,48,43.4,36,72,56.9,43,12,7.3,5,30.2,30.1,30,0
23/05/2023,64,57.1,48,46,43.8,41,87,62.4,45,9,6,1,30.2,30.2,30.2,0
24/05/2023,70,60.1,48,50,46.9,43,87,63.9,40,8,5.7,1,30.2,30.2,30.1,0
25/05/2023,64,59.1,52,48,45.9,43,82,62.8,52,10,6.5,2,30.4,30.3,30.2,0
26/05/2023,68,56,0,45,41.6,0,82,58.8,0,14,9.9,5,30.4,30.4,30.3,0
27/05/2023,70,58.3,48,48,45,41,87,64.2,35,10,6.8,2,30.3,30.2,30.1,0
28/05/2023,72,61.1,48,48,42.8,30,87,54.9,24,14,8.9,1,30.2,30.1,30.1,0
29/05/2023,64,56.2,48,43,41.2,37,82,58.2,42,16,11.3,7,30.3,30.3,30.2,0
30/05/2023,64,55.9,48,48,44.6,43,82,66.7,48,14,11.8,8,30.3,30.3,30.3,0
31/05/2023,66,57.5,50,50,47.4,45,87,70.3,56,14,10.5,8,30.3,30.2,30.2,0
01/06/2023,66,55.9,50,48,45.8,43,87,69.8,49,13,9.9,8,30.2,30.2,30.1,0
02/06/2023,66,56.9,50,45,42.5,39,76,59.5,43,13,10.2,6,30.2,30.2,30.1,0
03/06/2023,72,59.3,46,50,46.1,41,87,64.1,41,13,8.7,3,30.1,30.1,30.1,0
04/06/2023,73,61,50,50,45.5,41,82,59.2,36,12,8.4,3,30.2,30.1,30.1,0
05/06/2023,64,56.1,50,46,44.9,43,82,66.7,52,12,9.1,7,30.2,30.1,30.1,0
06/06/2023,63,56.4,52,46,45.1,43,76,66.2,55,13,9.6,7,30.1,30.1,30.1,0
07/06/2023,72,58.8,52,54,48.1,45,82,68.3,50,12,9.7,7,30.1,30.1,30,0
08/06/2023,73,60.6,50,52,47.1,45,82,62.9,38,13,10,8,30.1,30,29.9,0
09/06/2023,79,65.7,54,57,52.7,48,82,65.2,44,15,11,7,29.9,29.9,29.8,0
10/06/2023,86,72.1,57,59,54.8,52,88,57.4,35,17,9.4,3,29.9,29.8,29.8,0
11/06/2023,86,71,63,66,57.8,52,83,64.6,39,16,3.9,1,29.9,29.8,29.8,0
12/06/2023,82,70.2,63,64,61,54,94,73.6,45,25,3.8,1,29.9,29.9,29.8,0
13/06/2023,82,70.6,57,57,48.9,32,82,49.7,28,18,8.5,1,29.9,29.9,29.8,0
14/06/2023,82,68.3,52,55,48.2,34,82,51.4,32,12,7.2,2,30,29.9,29.9,0
15/06/2023,79,69,59,55,51,48,77,54.8,34,12,6.6,2,30.1,30,30,0
16/06/2023,79,69.3,59,52,47.9,45,77,49.3,30,13,5.3,1,30.1,30,29.9,0
17/06/2023,79,68.4,57,59,52.4,46,77,57.7,41,10,6.2,2,29.9,29.9,29.8,0
18/06/2023,79,67.6,61,63,59.3,55,94,75.8,51,16,7.9,1,29.8,29.7,29.6,0
19/06/2023,75,67.3,59,59,56.5,54,94,70.3,50,15,9.7,2,29.8,29.8,29.7,0
20/06/2023,72,67.5,63,64,58.9,55,94,74.9,60,16,9.3,2,29.8,29.7,29.6,0
21/06/2023,77,68.5,61,59,55.6,54,94,65.7,44,13,9.3,6,30,29.9,29.8,0
22/06/2023,82,70.5,59,59,56.5,52,94,64.6,37,13,5.1,1,30.1,30,29.9,0
23/06/2023,81,70.9,63,61,56.3,50,88,62.9,34,15,8.3,1,30.1,30.1,30.1,0
24/06/2023,82,71.8,61,63,59,55,88,65.9,45,13,7.3,5,30.2,30.1,30,0
25/06/2023,88,73.6,61,61,55.7,48,77,55.6,35,22,12.6,2,30,29.9,29.8,0
26/06/2023,72,65.6,57,54,48.8,45,88,57.1,38,18,12.5,8,30.1,30,29.9,0
27/06/2023,72,66,59,59,53.6,48,78,65.2,46,13,9.8,6,30.1,30.1,30,0
28/06/2023,77,69.1,64,63,60.9,59,88,75.2,57,13,9.3,7,30,29.9,29.9,0
29/06/2023,72,65.8,59,63,53.5,46,100,68.1,41,9,6.4,1,29.9,29.9,29.9,0
30/06/2023,66,61.5,54,61,53,46,88,74.2,56,18,11.7,3,29.9,29.8,29.6,0
01/07/2023,72,66.1,61,61,54.1,45,94,67.1,43,20,12.6,6,29.7,29.6,29.6,0
02/07/2023,70,62.2,54,54,46.4,41,88,58.2,35,22,14,7,29.8,29.8,29.7,0
03/07/2023,68,61.7,55,52,47.2,43,82,60.1,40,25,16.4,8,29.8,29.8,29.7,0
04/07/2023,64,58.6,54,57,52,48,94,79.6,56,14,8.9,5,29.8,29.7,29.6,0
05/07/2023,70,60.3,52,54,49.1,43,94,69.3,38,20,12.4,6,29.9,29.8,29.6,0
06/07/2023,72,62.6,54,52,47.3,43,88,59.8,38,16,10.2,3,29.9,29.9,29.9,0
07/07/2023,84,70.8,54,54,50.9,45,77,51.6,32,13,7,1,29.9,29.9,29.8,0
08/07/2023,77,71.6,66,63,59.7,54,83,66.3,54,14,7.6,2,29.9,29.9,29.8,0
09/07/2023,73,67.1,63,61,55.6,50,88,68.1,46,16,9.7,3,30.1,30,29.9,0
10/07/2023,75,66.8,57,59,55.2,50,94,68.5,44,21,12.3,5,30.1,30,29.8,0
11/07/2023,72,66.6,61,63,56.1,54,100,70.2,53,21,13.9,10,29.8,29.7,29.7,0
12/07/2023,72,64.6,57,57,53.1,50,94,67.6,46,17,12.9,8,29.9,29.8,29.7,0
13/07/2023,70,63.4,55,55,53.8,52,94,71.3,53,17,10.8,5,29.9,29.9,29.9,0
14/07/2023,66,62,57,64,58.2,54,94,87.8,77,15,9.2,3,29.9,29.7,29.4,0
15/07/2023,70,64.4,61,57,54.4,48,88,71.5,46,30,19.1,8,29.6,29.5,29.4,0
16/07/2023,70,63.3,57,55,50.8,46,88,65.3,46,22,16.9,7,29.9,29.7,29.6,0
17/07/2023,73,64.1,55,55,50.8,46,94,65,38,18,11.7,5,30.1,30,29.9,0
18/07/2023,72,64.2,55,55,51.4,50,88,64.6,46,15,8.6,3,30.1,30,29.9,0
19/07/2023,73,66.5,61,57,52.9,48,88,63.6,43,14,8.2,3,29.9,29.9,29.9,0
20/07/2023,73,64.9,55,54,48.6,45,77,57.4,36,10,5.3,2,29.9,29.9,29.8,0
21/07/2023,68,61.7,55,50,47.7,45,72,60.8,46,15,8.9,2,29.9,29.9,29.9,0
22/07/2023,66,59.9,55,59,54.5,50,94,83.3,60,20,13,6,29.9,29.7,29.6,0
23/07/2023,73,66.6,59,61,57.8,55,94,75.1,53,20,14,7,29.6,29.5,29.5,0
24/07/2023,63,60.6,57,57,54.1,50,94,79.6,68,10,6.2,1,29.7,29.6,29.5,0
25/07/2023,68,61.6,55,52,47.8,43,88,62.4,40,15,6.8,0,29.8,29.8,29.7,0
26/07/2023,72,61.4,50,61,50.5,43,100,71.1,38,17,9.3,1,29.9,29.8,29.6,0
27/07/2023,72,67.1,61,64,62.2,59,94,84.5,73,17,12.8,7,29.6,29.5,29.5,0
28/07/2023,73,66.6,63,61,58.3,55,94,75.2,53,16,11.1,6,29.6,29.6,29.6,0
29/07/2023,73,66.3,61,59,53.6,48,88,65.7,41,20,13.1,7,29.7,29.6,29.6,0
30/07/2023,68,63.1,59,63,56.4,50,94,78.9,56,21,14.3,9,29.8,29.8,29.7,0
31/07/2023,68,64.4,61,63,58.3,54,94,80.9,64,20,14.3,8,29.7,29.6,29.5,0
01/08/2023,73,64.3,57,59,54.5,48,94,72.7,44,18,13.1,8,29.5,29.5,29.3,0
02/08/2023,68,62.5,59,63,58.5,54,100,87.7,64,21,11.6,3,29.3,29.1,29,0
03/08/2023,70,64.2,59,57,52.9,48,94,68.4,49,10,6.7,3,29.8,29.6,29.3,0
04/08/2023,66,61.9,57,54,52.1,48,88,70,56,13,7.1,3,30,29.9,29.9,0
05/08/2023,64,58.1,55,59,53.8,50,94,85.2,72,18,8.7,3,29.9,29.7,29.5,0
06/08/2023,66,59.6,52,52,49.2,48,88,70,52,13,8.5,3,30,29.9,29.8,0
07/08/2023,72,61.3,52,52,48.9,45,94,66.9,41,16,10.2,1,30.1,30,29.9,0
08/08/2023,64,59.3,54,61,55.7,48,94,88.5,72,15,9.1,3,29.9,29.9,29.8,0
09/08/2023,75,65.2,54,61,54.6,48,100,71,47,12,5.2,1,30,30,29.9,0
10/08/2023,79,68.7,57,61,58,55,94,70.8,50,15,8,2,30,30,30,0
11/08/2023,75,69,63,63,59.7,54,88,72.7,56,15,11.1,5,30,29.9,29.9,0
12/08/2023,70,64.8,59,59,56.2,54,94,75.3,60,21,13.1,5,29.9,29.9,29.8,0
13/08/2023,72,65.1,61,57,55.1,54,88,71,53,18,12.2,8,29.9,29.8,29.8,0
14/08/2023,70,64,59,63,59,55,100,84.1,68,16,10.6,5,29.8,29.8,29.7,0
15/08/2023,75,64.8,55,59,55.2,52,94,72.7,44,14,7.8,3,30,29.9,29.8,0
16/08/2023,77,66.9,57,57,53.7,46,88,65.5,41,12,5.2,1,30.1,30,30,0
17/08/2023,75,66.9,59,61,57.3,54,94,72.9,50,16,10.8,3,30.1,30,29.9,0
18/08/2023,75,68.2,64,68,62.9,59,100,83.2,65,15,10.2,6,29.9,29.8,29.7,0
19/08/2023,75,68,61,68,58.6,55,94,72.8,53,20,12.5,6,30,29.9,29.7,0
20/08/2023,77,67,59,59,57.4,55,94,73.8,47,15,9.1,3,30.1,30.1,30,0
21/08/2023,75,66.1,59,59,56.5,55,94,73.7,50,14,9.1,3,30.2,30.1,30.1,0
22/08/2023,77,67.8,59,59,56.1,52,94,68.8,41,14,9.2,5,30.1,30,30,0
23/08/2023,81,69.3,59,61,55.8,50,88,65,39,10,5.2,1,30.1,30,29.9,0
24/08/2023,75,67.8,63,63,59.1,54,94,74.3,47,10,5.4,1,29.9,29.8,29.7,0
25/08/2023,70,62.3,57,57,48.5,45,82,61.9,43,16,8,3,29.8,29.7,29.7,0
26/08/2023,66,59.5,54,54,51.7,48,94,76.3,56,13,8,5,29.7,29.7,29.7,0
27/08/2023,68,60,52,52,50.3,46,94,72,49,17,9.2,5,29.9,29.8,29.7,0
28/08/2023,70,61.4,54,54,50.3,46,88,68.4,46,10,5.6,2,29.9,29.9,29.8,0
29/08/2023,70,61.8,57,57,51.9,45,100,72,43,16,7.9,2,29.9,29.8,29.7,0
30/08/2023,68,60.1,52,52,48.2,43,94,67.3,40,15,8.5,3,29.7,29.7,29.7,0
31/08/2023,63,57.8,54,55,52.2,48,94,82.5,68,9,5.6,0,29.7,29.7,29.7,0
01/09/2023,72,64.8,59,63,59.8,55,100,84.8,64,7,4.1,1,29.9,29.8,29.7,0
02/09/2023,75,67.1,61,61,59.5,57,94,78,53,12,6.9,2,30.2,30.1,29.9,0
03/09/2023,79,67.6,57,61,57.9,55,94,73.8,47,10,4.1,0,30.3,30.2,30.2,0
04/09/2023,84,71.1,61,61,56.9,43,94,64.8,28,14,6.9,3,30.2,30.1,30,0
05/09/2023,86,71.9,61,61,57.3,54,94,63.6,37,14,7.5,2,30,29.9,29.9,0
06/09/2023,88,74.8,63,64,60.6,57,83,62.9,40,10,3.8,1,30,30,30,0
07/09/2023,88,77,64,64,62,57,94,63.2,35,9,4.6,2,30,29.9,29.9,0
08/09/2023,86,80,72,63,61.1,59,69,52.7,40,9,5.6,2,29.9,29.9,29.9,0
09/09/2023,90,78.1,64,64,61,59,88,58.5,36,7,3.4,0,29.9,29.9,29.9,0
10/09/2023,84,73.8,66,66,63.2,61,94,70.3,51,16,6.1,0,29.9,29.9,29.8,0
11/09/2023,77,70.4,66,63,61.2,57,88,73.1,50,14,9.9,6,29.9,29.8,29.8,0
12/09/2023,73,65.7,57,63,59.8,54,94,81.3,57,14,7,3,29.9,29.9,29.8,0
13/09/2023,70,61.4,57,54,52.1,50,88,71.7,49,8,5.7,1,30.1,30.1,30,0
14/09/2023,73,64.1,55,55,53.1,48,94,69.8,41,12,6.4,3,30.1,30,30,0
15/09/2023,77,64.9,54,55,54.4,52,100,71.4,44,10,4.1,1,30,29.9,29.8,0
16/09/2023,81,67.8,57,59,55.2,50,94,67.5,39,13,6.2,1,29.9,29.8,29.8,0
17/09/2023,70,65,61,64,60.5,55,100,85.2,68,17,9.2,3,29.9,29.7,29.5,0
18/09/2023,68,61.9,55,61,54.7,45,94,78.8,52,31,13.4,5,29.7,29.5,29.4,0
19/09/2023,66,62,55,59,55.7,50,88,79.5,73,25,17.6,10,29.7,29.6,29.6,0
20/09/2023,68,63.1,57,61,57.4,54,100,82.8,64,24,17.2,7,29.6,29.4,29.2,0
21/09/2023,64,56.9,50,55,52.1,48,100,84.6,56,12,5.9,1,29.3,29.3,29.3,0
